name	datetime	temp	feelslike	dew	humidity	precip	precipprob	preciptype	snow	snowdepth	windgust	windspeed	winddir	sealevelpressure	cloudcover	visibility	solarradiation	solarenergy	uvindex	severerisk	conditions	icon	stations
berlin	1992-07-02T13:00:00	25.1	25.1	13.1	47.53		0					21.7	319	1011.9	40	10.1					Partially cloudy	partly-cloudy-day	10384099999,10385099999
berlin	1992-07-02T14:00:00	25.8	25.8	13.1	45.38		0					15.2	297	1012.7	84.1	13					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10385099999
berlin	1992-07-02T15:00:00	24.8	24.8	13.3	48.98		0					23.3	300	1012.3	80	11.1					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-02T16:00:00	25.8	25.8	12.1	42.5		0					25.7	286	1012.3	81.5	15.3					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-02T17:00:00	25.4	25.4	12.6	44.97		0					27.4	303	1012.4	90	15.3					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-02T18:00:00	25.5	25.5	12.5	44.44		0					26.3	306	1012.2	50	11.1					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-02T19:00:00	24.8	24.8	13.1	48.07		0					22.3	337	1012.5	62.2	12					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-02T20:00:00	23.7	23.7	15	58.19		0					18.5	336	1013.3	90	15.9					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-02T21:00:00	23.3	23.3	14.5	57.84		0					14.7	5	1013.6	80.7	12					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-02T22:00:00	22.1	22.1	14.4	61.97		0					21.5	352	1014.5	90	12					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
berlin	1992-07-02T23:00:00	20.9	20.9	13.4	62.12		0					21.7	360	1014.7	17.4	15.3					Clear	clear-night	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-03T00:00:00	20.3	20.3	9.2	48.9		0					18.8	12	1015	50	11.1					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
berlin	1992-07-03T01:00:00	19.3	19.3	8.1	48.23		0					14.3	12	1015.1	50	11.1					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
